Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
North Stake Centre,Edmonton North Stake,2,2,24,30,0,1,20,2023-12-13 10:40:00,2023-12-13 11:10:00,Griesbach Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,26,45,0,1,150,2023-12-13 10:30:00,2023-12-13 11:10:00,Crawford Plains Ward,40.0
Gateway Stake Centre,Gateway Stake,3,0,24,35,0,1,194,2023-12-13 10:24:00,2023-12-13 11:04:00,Silver Berry Ward,40.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,3,30,60,1,2,100,2023-12-13 10:00:00,2023-12-13 11:13:00,Forest Heights Ward,73.0
Gateway Stake Centre,Gateway Stake,2,2,33,50,1,1,207,2023-12-13 10:15:00,2023-12-13 11:05:00,Ellerslie Ward,50.0
Londonderry Chapel,Bonnie Doon Stake,2,2,11,35,0,1,116,,,Londonderry Ward,54.70873786407767
Bearspaw Chapel,Gateway Stake,2,0,15,45,0,1,135,2023-12-13 10:40:00,2023-12-13 11:15:00,Blackmud Creek Ward,35.0
Gateway Stake Centre,Gateway Stake,1,0,11,20,0,1,29,2023-12-13 10:55:00,2023-12-13 11:08:00,Silver Berry Ward,13.0
Riverbend Stake Centre,Riverbend Stake,2,3,22,30,0,1,80,2023-12-13 10:20:00,2023-12-13 11:00:00,Rabbit Hill Ward,40.0
North Stake Centre,Edmonton North Stake,2,0,23,100,0,1,160,2023-12-13 09:30:00,2023-12-13 11:10:00,Namao Ward,100.0
Gateway Stake Centre,Gateway Stake,2,0,23,30,0,1,137,2023-12-13 10:45:00,2023-12-13 11:15:00,Wainwright Branch,30.0
Gateway Stake Centre,Gateway Stake,1,4,16,20,1,2,147,2023-12-13 10:50:00,2023-12-13 11:10:00,Lee Ridge Ward,20.0
Riverbend Stake Centre,Riverbend Stake,4,2,59,60,1,2,236,2023-12-13 10:00:00,2023-12-13 11:00:00,Rabbit Hill Ward,60.0
Gateway Stake Centre,Gateway Stake,1,1,5,17,0,1,135,2023-12-13 11:00:00,2023-12-13 11:17:00,Crawford Plains Ward,17.0
North Stake Centre,Edmonton North Stake,2,3,35,70,0,1,370,2023-12-13 10:10:00,2023-12-13 11:15:00,Griesbach Ward,65.0
Riverbend Stake Centre,Riverbend Stake,3,1,25,45,0,1,100,2023-12-13 10:20:00,2023-12-13 11:05:00,Woodbend Ward,45.0
Gateway Stake Centre,Gateway Stake,2,0,15,40,0,1,115,2023-12-13 10:40:00,2023-12-13 11:20:00,Crawford Plains Ward,40.0
North Stake Centre,Edmonton North Stake,2,2,16,60,0,1,200,2023-12-13 10:30:00,2023-12-13 11:20:00,Griesbach Ward,50.0
Gateway Stake Centre,Gateway Stake,2,0,20,30,0,1,198,2023-12-13 10:45:00,2023-12-13 11:15:00,Silver Berry Ward,30.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,40,0,1,235,2023-12-13 10:15:00,2023-12-13 11:15:00,Connors Hill Ward,60.0
Londonderry Chapel,Bonnie Doon Stake,2,0,20,35,0,1,100,2023-12-13 10:10:00,2023-12-13 10:50:00,Londonderry Ward,40.0
Gateway Stake Centre,Gateway Stake,2,1,22,50,0,1,191,2023-12-13 10:00:00,2023-12-13 10:50:00,Ellerslie Ward,50.0
North Stake Centre,Edmonton North Stake,2,0,9,20,0,1,100,2023-12-13 10:30:00,2023-12-13 10:50:00,Griesbach Ward,20.0
Gateway Stake Centre,Gateway Stake,2,0,31,58,0,1,27,2023-12-13 10:23:00,2023-12-13 11:20:00,Silver Berry Ward,57.0
Gateway Stake Centre,Gateway Stake,4,0,26,50,0,1,168,2023-12-13 10:30:00,2023-12-13 11:20:00,Silver Berry Ward,50.0
North Stake Centre,Edmonton North Stake,1,4,42,50,0,1,392,2023-12-13 10:20:00,2023-12-13 11:20:00,Namao Ward,60.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,18,120,0,1,100,2023-12-13 10:25:00,2023-12-13 11:21:00,Forest Heights Ward,56.0
Gateway Stake Centre,Gateway Stake,2,3,21,50,1,2,317,2023-12-13 10:30:00,2023-12-13 11:20:00,Crawford Plains Ward,50.0
Riverbend Stake Centre,Riverbend Stake,3,0,54,75,0,1,212,2023-12-13 10:00:00,2023-12-13 11:20:00,Greenfield Ward,80.0
Gateway Stake Centre,Gateway Stake,1,2,11,30,1,2,261,2023-12-13 10:50:00,2023-12-13 11:23:00,Crawford Plains Ward,33.0
Gateway Stake Centre,Gateway Stake,2,0,15,40,0,1,115,2023-12-13 10:40:00,2023-12-13 11:20:00,Crawford Plains Ward,40.0
Coronation Park Chapel,Edmonton North Stake,1,2,31,45,1,2,453,2023-12-13 10:15:00,2023-12-13 11:24:00,Stony Plain Ward,69.0
Gateway Stake Centre,Gateway Stake,2,0,27,40,0,1,23,2023-12-13 10:40:00,2023-12-13 11:20:00,Silver Berry Ward,40.0
Gateway Stake Centre,Gateway Stake,2,0,12,25,0,1,110,2023-12-13 11:00:00,2023-12-13 11:25:00,Crawford Plains Ward,25.0
Londonderry Chapel,Bonnie Doon Stake,2,0,34,60,1,2,32,,,Clareview Ward,54.70873786407767
Bearspaw Chapel,Gateway Stake,2,3,37,30,1,2,144,2023-12-13 11:00:00,2023-12-13 11:30:00,Lee Ridge Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,26,35,0,1,220,2023-12-13 10:35:00,2023-12-13 11:10:00,Ellerslie Ward,35.0
Londonderry Chapel,Bonnie Doon Stake,2,0,9,45,0,1,0,2023-12-13 10:30:00,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,0,11,15,0,1,165,2023-12-13 11:00:00,2023-12-13 11:15:00,Ellerslie Ward,15.0
Bearspaw Chapel,Gateway Stake,1,7,6,60,1,2,315,2023-12-13 10:30:00,2023-12-13 11:30:00,Wild Rose Ward,60.0
Londonderry Chapel,Bonnie Doon Stake,2,2,43,60,1,2,300,2023-12-13 10:20:00,2023-12-13 11:15:00,Londonderry Ward,55.0
Londonderry Chapel,Bonnie Doon Stake,2,1,35,60,1,2,250,2023-12-13 10:25:00,2023-12-13 11:22:00,Londonderry Ward,57.0
Bearspaw Chapel,Gateway Stake,2,0,8,60,0,1,162,2023-12-13 10:00:00,2023-12-13 11:00:00,Lee Ridge Ward,60.0
Coronation Park Chapel,Bonnie Doon Stake,1,1,38,90,1,2,300,,,Coronation Park Ward,54.70873786407767
Riverbend Stake Centre,Riverbend Stake,1,3,10,30,0,1,10,2023-12-13 11:00:00,2023-12-13 11:30:00,Woodbend Ward,30.0
Gateway Stake Centre,Gateway Stake,2,3,20,50,0,1,219,2023-12-13 10:40:00,2023-12-13 11:30:00,Ellerslie Ward,50.0
Riverbend Stake Centre,Riverbend Stake,3,0,60,90,0,1,250,2023-12-13 10:00:00,2023-12-13 11:30:00,Terwillegar Park Ward,90.0
Londonderry Chapel,Bonnie Doon Stake,1,2,6,45,0,1,150,2023-12-13 10:30:00,,Clareview Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,2,0,45,75,0,1,300,2023-12-13 10:00:00,2023-12-13 11:15:00,Londonderry Ward,75.0
Gateway Stake Centre,Gateway Stake,2,0,24,40,0,1,167,2023-12-13 10:40:00,2023-12-13 11:30:00,Silver Berry Ward,50.0
