Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Routes Completed,Doors in Route,The time you started at:,The time you ended at,WARD,Time Spent
Londonderry Chapel,Bonnie Doon Stake,2,0,6,35,0,1,110,2023-12-13 10:35:00,2023-12-13 11:40:00,Clareview Ward,65.0
Londonderry Chapel,Bonnie Doon Stake,1,0,30,75,1,2,250,2023-12-13 10:30:00,,Londonderry Ward,54.70873786407767
Coronation Park Chapel,Bonnie Doon Stake,4,0,37,45,1,2,0,2023-12-13 10:15:00,2023-12-13 11:55:00,Coronation Park Ward,100.0
Bearspaw Chapel,Bonnie Doon Stake,2,1,10,30,0,1,90,2023-12-13 11:00:00,2023-12-13 11:45:00,Strathcona Married Student Ward,45.0
Londonderry Chapel,Bonnie Doon Stake,4,0,17,30,0,1,17,,,Londonderry Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,2,34,28,0,1,203,2023-12-13 11:10:00,2023-12-13 11:38:00,Ellerslie Ward,28.0
Riverbend Stake Centre,Riverbend Stake,1,1,15,15,0,1,8,2023-12-13 11:30:00,2023-12-13 11:45:00,Woodbend Ward,15.0
Gateway Stake Centre,Gateway Stake,24,0,14,24,1,2,146,2023-12-13 10:52:00,2023-12-13 11:16:00,Crawford Plains Ward,24.0
Riverbend Stake Centre,Riverbend Stake,3,0,52,80,1,2,313,2023-12-13 10:50:00,2023-12-13 11:57:00,Rabbit Hill Ward,67.0
Gateway Stake Centre,Gateway Stake,2,3,50,90,1,3,460,2023-12-13 10:00:00,2023-12-13 11:30:00,Crawford Plains Ward,90.0
Coronation Park Chapel,Bonnie Doon Stake,2,2,37,57,0,1,0,2023-12-13 11:00:00,2023-12-13 11:57:00,Coronation Park Ward,57.0
North Stake Centre,Edmonton North Stake,2,0,23,30,0,1,20,2023-12-13 11:00:00,2023-12-13 11:30:00,Griesbach Ward,30.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,28,57,1,2,200,2023-12-13 11:00:00,2023-12-13 11:57:00,Forest Heights Ward,57.0
North Stake Centre,Edmonton North Stake,2,2,19,30,0,1,100,2023-12-13 11:00:00,2023-12-13 11:30:00,Griesbach Ward,30.0
Riverbend Stake Centre,Riverbend Stake,2,0,15,40,0,1,80,2023-12-13 10:30:00,2023-12-13 11:58:00,Woodbend Ward,88.0
Riverbend Stake Centre,Riverbend Stake,2,3,27,60,0,1,21,2023-12-13 10:40:00,2023-12-13 11:40:00,Greenfield Ward,60.0
Bearspaw Chapel,Bonnie Doon Stake,2,2,9,60,0,1,150,2023-12-13 11:00:00,2023-12-13 12:00:00,Southgate Ward,60.0
Gateway Stake Centre,Gateway Stake,2,3,30,35,0,1,30,2023-12-13 11:10:00,2023-12-13 11:45:00,Lee Ridge Ward,35.0
Riverbend Stake Centre,Riverbend Stake,1,5,70,60,0,1,350,2023-12-13 10:45:00,2023-12-13 11:45:00,Woodbend Ward,60.0
Bearspaw Chapel,Gateway Stake,2,20,20,60,0,1,147,2023-12-13 11:00:00,2023-12-13 12:00:00,Blackmud Creek Ward,60.0
Gateway Stake Centre,Gateway Stake,2,4,14,30,0,1,190,2023-12-13 11:08:00,2023-12-13 11:39:00,Ellerslie Ward,31.0
Gateway Stake Centre,Gateway Stake,2,0,38,90,0,1,243,2023-12-13 10:00:00,2023-12-13 11:30:00,Silver Berry Ward,90.0
Bearspaw Chapel,YSA Stake,1,2,50,60,1,2,110,2023-12-13 10:45:00,2023-12-13 11:43:00,Windsor Park YSA Ward,58.0
Coronation Park Chapel,Bonnie Doon Stake,1,1,15,60,0,1,100,2023-12-13 11:00:00,2023-12-13 12:00:00,Coronation Park Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,6,185,1,2,136,2023-12-13 11:18:00,2023-12-13 11:36:00,Crawford Plains Ward,18.0
Riverbend Stake Centre,Riverbend Stake,2,1,35,30,0,1,179,2023-12-13 10:55:00,2023-12-13 12:00:00,Woodbend Ward,65.0
Riverbend Stake Centre,Riverbend Stake,2,0,8,20,0,1,150,2023-12-13 11:30:00,2023-12-13 12:00:00,Greenfield Ward,30.0
Gateway Stake Centre,Gateway Stake,2,4,25,34,0,1,198,2023-12-13 10:38:00,2023-12-13 11:12:00,Ellerslie Ward,34.0
Londonderry Chapel,Bonnie Doon Stake,1,0,38,90,1,2,300,2023-12-13 10:00:00,2023-12-13 11:54:00,Clareview Ward,114.0
Londonderry Chapel,Bonnie Doon Stake,2,0,28,45,0,1,185,2023-12-13 10:30:00,,Londonderry Ward,54.70873786407767
North Stake Centre,Edmonton North Stake,2,1,21,45,1,2,150,2023-12-13 10:30:00,2023-12-13 11:15:00,Griesbach Ward,45.0
Riverbend Stake Centre,Riverbend Stake,1,1,30,45,0,1,158,2023-12-13 11:20:00,2023-12-13 12:00:00,Rabbit Hill Ward,40.0
Riverbend Stake Centre,Riverbend Stake,2,1,46,60,0,1,220,2023-12-13 10:50:00,2023-12-13 11:50:00,Greenfield Ward,60.0
Gateway Stake Centre,Gateway Stake,2,1,25,45,0,1,230,2023-12-13 11:15:00,2023-12-13 12:00:00,Silver Berry Ward,45.0
Gateway Stake Centre,Gateway Stake,2,1,40,60,1,1,228,2023-12-13 10:54:00,2023-12-13 11:47:00,Ellerslie Ward,53.0
Bearspaw Chapel,Bonnie Doon Stake,1,2,31,60,0,1,143,2023-12-13 11:05:00,2023-12-13 12:00:00,Southgate Ward,55.0
Bearspaw Chapel,Gateway Stake,2,4,24,40,0,1,169,2023-12-13 11:12:00,2023-12-13 11:52:00,Lee Ridge Ward,40.0
Gateway Stake Centre,Gateway Stake,2,0,8,30,0,1,144,2023-12-13 11:35:00,2023-12-13 12:05:00,Crawford Plains Ward,30.0
North Stake Centre,Edmonton North Stake,2,1,17,60,0,1,50,2023-12-13 10:15:00,2023-12-13 11:30:00,Griesbach Ward,75.0
Gateway Stake Centre,Gateway Stake,2,4,40,37,0,1,207,,,Ellerslie Ward,54.70873786407767
Riverbend Stake Centre,Riverbend Stake,2,0,44,80,0,1,200,2023-12-13 10:30:00,2023-12-13 11:50:00,Greenfield Ward,80.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,19,60,1,2,280,2023-12-13 11:00:00,2023-12-13 12:03:00,Connors Hill Ward,63.0
Gateway Stake Centre,Gateway Stake,2,0,25,30,0,1,150,2023-12-13 11:45:00,2023-12-13 11:55:00,Crawford Plains Ward,10.0
North Stake Centre,Edmonton North Stake,1,3,0,75,0,1,100,2023-12-13 10:45:00,2023-12-13 12:00:00,Griesbach Ward,75.0
Bearspaw Chapel,Gateway Stake,4,0,0,40,0,1,155,2023-12-13 11:20:00,2023-12-13 12:05:00,Lee Ridge Ward,45.0
Riverbend Stake Centre,Riverbend Stake,2,4,45,120,0,1,45,2023-12-13 10:15:00,2023-12-13 12:04:00,Greenfield Ward,109.0
Riverbend Stake Centre,Riverbend Stake,2,1,80,70,1,2,400,2023-12-13 10:20:00,2023-12-13 12:00:00,Rabbit Hill Ward,100.0
Gateway Stake Centre,Gateway Stake,2,0,24,60,0,1,220,2023-12-13 11:04:00,2023-12-13 12:04:00,Silver Berry Ward,60.0
Gateway Stake Centre,Gateway Stake,1,2,32,60,1,2,215,2023-12-13 11:00:00,2023-12-13 12:00:00,Crawford Plains Ward,60.0
North Stake Centre,Edmonton North Stake,1,0,5,30,0,1,40,2023-12-13 11:00:00,2023-12-13 11:30:00,Griesbach Ward,30.0
Londonderry Chapel,Bonnie Doon Stake,2,4,22,20,0,1,0,2023-12-13 11:30:00,2023-12-13 12:03:00,Clareview Ward,33.0
Riverbend Stake Centre,Riverbend Stake,3,0,14,30,0,1,159,2023-12-13 10:50:00,2023-12-13 11:30:00,Rutherford Ward,40.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,14,45,0,1,110,2023-12-13 11:15:00,2023-12-13 11:50:00,Strathcona Married Student Ward,35.0
Riverbend Stake Centre,Riverbend Stake,3,1,34,60,0,1,150,2023-12-13 10:30:00,2023-12-13 12:06:00,Terwillegar Park Ward,96.0
Riverbend Stake Centre,Riverbend Stake,2,0,12,35,0,1,159,2023-12-13 11:30:00,2023-12-13 11:55:00,Rutherford Ward,25.0
North Stake Centre,Edmonton North Stake,1,4,22,60,0,1,236,2023-12-13 10:00:00,2023-12-13 11:30:00,Namao Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,2,35,30,0,1,207,2023-12-13 11:15:00,2023-12-13 11:45:00,Rutherford Ward,30.0
North Stake Centre,Edmonton North Stake,1,5,16,30,0,1,120,2023-12-13 10:30:00,2023-12-13 11:00:00,Griesbach Ward,30.0
Londonderry Chapel,Bonnie Doon Stake,1,4,40,60,1,2,200,2023-12-13 10:45:00,,Clareview Ward,54.70873786407767
Bearspaw Chapel,Bonnie Doon Stake,4,0,8,45,0,1,80,2023-12-13 11:00:00,2023-12-13 12:00:00,Southgate Ward,60.0
Gateway Stake Centre,Gateway Stake,2,3,23,58,0,1,23,2023-12-13 11:00:00,2023-12-13 11:58:00,Lee Ridge Ward,58.0
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,3,11,30,1,2,170,2023-12-13 11:30:00,2023-12-13 12:00:00,Forest Heights Ward,30.0
Gateway Stake Centre,Gateway Stake,3,1,28,30,0,1,123,2023-12-13 11:30:00,2023-12-13 12:00:00,Crawford Plains Ward,30.0
Riverbend Stake Centre,Riverbend Stake,4,0,25,60,0,1,100,2023-12-13 11:00:00,2023-12-13 12:00:00,Terwillegar Park Ward,60.0
North Stake Centre,Edmonton North Stake,3,0,16,30,0,1,75,2023-12-13 11:00:00,2023-12-13 11:30:00,Griesbach Ward,30.0
Riverbend Stake Centre,Riverbend Stake,2,2,30,25,0,1,196,2023-12-13 11:30:00,2023-12-13 12:00:00,Greenfield Ward,30.0
Gateway Stake Centre,Gateway Stake,1,3,32,52,1,1,200,2023-12-13 11:10:00,2023-12-13 12:02:00,Crawford Plains Ward,52.0
Gateway Stake Centre,Gateway Stake,1,1,120,70,1,6,900,2023-12-13 10:50:00,2023-12-13 12:07:00,Crawford Plains Ward,77.0
Gateway Stake Centre,Gateway Stake,2,3,40,90,1,3,380,2023-12-13 10:30:00,2023-12-13 12:00:00,Crawford Plains Ward,90.0
Coronation Park Chapel,Bonnie Doon Stake,2,0,44,60,1,2,266,2023-12-13 10:30:00,2023-12-13 11:30:00,Coronation Park Ward,60.0
Londonderry Chapel,Bonnie Doon Stake,2,0,16,60,0,1,100,2023-12-13 11:05:00,2023-12-13 12:10:00,Clareview Ward,65.0
Bearspaw Chapel,Gateway Stake,2,1,20,50,0,1,158,2023-12-13 11:15:00,2023-12-13 12:00:00,Lee Ridge Ward,45.0
Gateway Stake Centre,Gateway Stake,1,1,25,35,0,1,26,2023-12-13 11:30:00,2023-12-13 12:05:00,Crawford Plains Ward,35.0
Londonderry Chapel,Bonnie Doon Stake,2,2,39,60,0,1,0,,,Londonderry Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,1,44,60,1,1,168,2023-12-13 11:00:00,2023-12-13 12:11:00,Lee Ridge Ward,71.0
Gateway Stake Centre,Gateway Stake,2,3,24,60,0,1,128,2023-12-13 10:30:00,2023-12-13 11:30:00,Crawford Plains Ward,60.0
Bearspaw Chapel,Bonnie Doon Stake,2,1,25,45,1,2,256,2023-12-13 11:15:00,2023-12-13 12:05:00,Southgate Ward,50.0
Bearspaw Chapel,Gateway Stake,2,0,44,75,0,1,125,2023-12-13 10:30:00,2023-12-13 11:55:00,Lee Ridge Ward,85.0
Bearspaw Chapel,Gateway Stake,2,3,22,35,1,2,207,2023-12-13 11:40:00,2023-12-13 12:12:00,Lee Ridge Ward,32.0
Gateway Stake Centre,Gateway Stake,2,0,20,55,0,1,25,2023-12-13 11:05:00,2023-12-13 12:00:00,Lee Ridge Ward,55.0
Gateway Stake Centre,Gateway Stake,2,2,67,100,1,3,501,2023-12-13 10:15:00,2023-12-13 11:55:00,Ellerslie Ward,100.0
Bearspaw Chapel,Bonnie Doon Stake,2,5,15,25,0,1,115,2023-12-13 11:20:00,2023-12-13 12:44:00,Southgate Ward,84.0
Gateway Stake Centre,Gateway Stake,2,0,36,60,1,2,140,2023-12-13 11:00:00,2023-12-13 12:13:00,Crawford Plains Ward,73.0
Gateway Stake Centre,Gateway Stake,2,1,16,30,0,1,114,2023-12-13 11:47:00,2023-12-13 12:08:00,Crawford Plains Ward,21.0
Gateway Stake Centre,Gateway Stake,3,1,18,23,0,1,180,2023-12-13 11:00:00,2023-12-13 11:23:00,Ellerslie Ward,23.0
Gateway Stake Centre,Gateway Stake,2,0,27,40,1,2,267,2023-12-13 11:11:00,2023-12-13 11:51:00,Crawford Plains Ward,40.0
Bearspaw Chapel,Gateway Stake,3,3,37,60,0,1,206,2023-12-13 11:00:00,2023-12-13 11:50:00,Blackmud Creek Ward,50.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,12,60,0,1,0,2023-12-13 11:00:00,2023-12-13 12:00:00,Southgate Ward,60.0
Londonderry Chapel,Bonnie Doon Stake,3,0,150,120,1,4,450,2023-12-13 10:45:00,2023-12-13 11:50:00,Clareview Ward,65.0
Gateway Stake Centre,Gateway Stake,3,1,28,27,0,1,184,2023-12-13 11:30:00,2023-12-13 11:57:00,Ellerslie Ward,27.0
Londonderry Chapel,Bonnie Doon Stake,1,2,25,45,0,1,135,2023-12-13 11:00:00,,Clareview Ward,54.70873786407767
North Stake Centre,Edmonton North Stake,1,0,7,45,0,1,40,2023-12-13 11:15:00,2023-12-13 12:00:00,Griesbach Ward,45.0
Gateway Stake Centre,Gateway Stake,2,0,28,90,1,2,460,2023-12-13 10:20:00,2023-12-13 11:50:00,Silver Berry Ward,90.0
Gateway Stake Centre,Gateway Stake,2,0,17,60,0,1,153,2023-12-13 11:20:00,2023-12-13 12:15:00,Silver Berry Ward,55.0
Londonderry Chapel,Bonnie Doon Stake,1,2,20,60,0,1,110,2023-12-13 10:30:00,2023-12-13 12:17:00,Clareview Ward,107.0
Gateway Stake Centre,Gateway Stake,2,4,59,105,1,2,492,2023-12-13 10:30:00,2023-12-13 12:15:00,Silver Berry Ward,105.0
Gateway Stake Centre,Gateway Stake,2,0,17,60,0,1,235,2023-12-13 11:00:00,2023-12-13 12:18:00,Silver Berry Ward,78.0
Riverbend Stake Centre,Riverbend Stake,2,1,100,90,1,3,482,2023-12-13 10:00:00,2023-12-13 12:17:00,Rabbit Hill Ward,137.0
Gateway Stake Centre,Gateway Stake,2,3,65,65,1,3,65,2023-12-13 10:30:00,2023-12-13 11:35:00,Ellerslie Ward,65.0
Gateway Stake Centre,Gateway Stake,26,3,25,35,0,1,19,2023-12-13 11:32:00,2023-12-13 12:05:00,Ellerslie Ward,33.0
Londonderry Chapel,Bonnie Doon Stake,2,0,15,20,0,1,50,2023-12-13 11:45:00,,Londonderry Ward,54.70873786407767
Riverbend Stake Centre,Riverbend Stake,2,0,19,65,0,1,174,2023-12-13 11:15:00,2023-12-13 12:20:00,Rutherford Ward,65.0
Londonderry Chapel,Bonnie Doon Stake,1,2,20,20,0,1,0,2023-12-13 11:00:00,2023-12-13 12:19:00,Clareview Ward,79.0
Gateway Stake Centre,Gateway Stake,2,2,36,35,0,1,216,2023-12-13 11:30:00,2023-12-13 12:05:00,Silver Berry Ward,35.0
North Stake Centre,Edmonton North Stake,1,1,14,60,0,1,135,2023-12-13 11:00:00,2023-12-13 12:10:00,Griesbach Ward,70.0
Gateway Stake Centre,Gateway Stake,2,2,60,80,1,2,366,2023-12-13 10:30:00,2023-12-13 12:10:00,Silver Berry Ward,100.0
Londonderry Chapel,Bonnie Doon Stake,3,1,30,60,0,1,0,,,Clareview Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,2,0,35,75,1,3,75,2023-12-13 11:15:00,2023-12-13 12:10:00,Londonderry Ward,55.0
Gateway Stake Centre,Gateway Stake,1,2,24,30,0,1,244,2023-12-13 11:47:00,2023-12-13 12:15:00,Silver Berry Ward,28.0
Londonderry Chapel,Bonnie Doon Stake,2,2,60,60,1,3,165,2023-12-13 10:45:00,,Clareview Ward,54.70873786407767
North Stake Centre,Edmonton North Stake,1,3,30,35,0,1,272,2023-12-13 11:45:00,2023-12-13 12:20:00,Namao Ward,35.0
Riverbend Stake Centre,Riverbend Stake,2,8,200,240,1,8,1420,2023-12-13 10:00:00,2023-12-13 12:00:00,Rabbit Hill Ward,120.0
Bearspaw Chapel,Gateway Stake,2,2,20,45,1,2,175,2023-12-13 10:30:00,2023-12-13 12:20:00,Beaumont Ward,110.0
Gateway Stake Centre,Gateway Stake,2,3,25,40,0,1,60,2023-12-13 11:45:00,2023-12-13 12:23:00,Crawford Plains Ward,38.0
Bearspaw Chapel,Gateway Stake,1,4,30,45,0,1,160,2023-12-13 11:30:00,2023-12-13 12:15:00,Lee Ridge Ward,45.0
Bearspaw Chapel,Gateway Stake,2,4,18,45,0,1,154,2023-12-13 11:00:00,2023-12-13 11:45:00,Blackmud Creek Ward,45.0
North Stake Centre,Edmonton North Stake,2,4,80,110,1,5,500,2023-12-13 10:35:00,2023-12-13 12:20:00,Griesbach Ward,105.0
Bearspaw Chapel,Gateway Stake,1,1,20,60,0,1,161,2023-12-13 11:30:00,2023-12-13 12:25:00,Lee Ridge Ward,55.0
Gateway Stake Centre,Gateway Stake,3,5,66,115,1,3,654,2023-12-13 10:15:00,2023-12-13 12:22:00,Silver Berry Ward,127.0
Riverbend Stake Centre,Riverbend Stake,2,0,20,60,0,1,137,2023-12-13 11:15:00,2023-12-13 12:15:00,Woodbend Ward,60.0
Bearspaw Chapel,Bonnie Doon Stake,2,4,45,90,1,2,0,2023-12-13 11:15:00,2023-12-13 00:20:00,Southgate Ward,-655.0
Londonderry Chapel,Bonnie Doon Stake,1,1,12,60,1,1,0,2023-12-13 11:30:00,2023-12-13 12:15:00,Londonderry Ward,45.0
Londonderry Chapel,Bonnie Doon Stake,1,0,55,180,0,1,225,,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,1,2,17,40,1,1,113,2023-12-13 11:30:00,2023-12-13 12:20:00,Crawford Plains Ward,50.0
Bearspaw Chapel,Gateway Stake,2,3,50,45,0,1,240,2023-12-13 11:45:00,2023-12-13 12:30:00,Blackmud Creek Ward,45.0
Bearspaw Chapel,Gateway Stake,1,1,23,30,0,1,0,2023-12-13 11:20:00,2023-12-13 11:50:00,Lee Ridge Ward,30.0
Gateway Stake Centre,Gateway Stake,2,3,30,62,0,1,200,2023-12-13 11:03:00,2023-12-13 12:06:00,Ellerslie Ward,63.0
Londonderry Chapel,Bonnie Doon Stake,2,0,5,15,0,1,218,2023-12-13 12:00:00,,Londonderry Ward,54.70873786407767
Bearspaw Chapel,Gateway Stake,2,1,21,35,0,1,139,2023-12-13 11:00:00,2023-12-13 11:32:00,Lee Ridge Ward,32.0
Gateway Stake Centre,Gateway Stake,2,4,50,45,0,1,236,2023-12-13 11:30:00,2023-12-13 12:30:00,Ellerslie Ward,60.0
Riverbend Stake Centre,Riverbend Stake,1,1,43,60,0,1,208,2023-12-13 11:10:00,2023-12-13 12:15:00,Rabbit Hill Ward,65.0
Gateway Stake Centre,Gateway Stake,2,3,25,40,0,1,118,2023-12-13 11:50:00,2023-12-13 12:38:00,Silver Berry Ward,48.0
Gateway Stake Centre,Gateway Stake,1,0,29,69,0,1,266,2023-12-13 11:20:00,2023-12-13 12:20:00,Silver Berry Ward,60.0
Gateway Stake Centre,Gateway Stake,2,0,40,65,0,1,239,2023-12-13 11:15:00,2023-12-13 12:20:00,Ellerslie Ward,65.0
Gateway Stake Centre,Gateway Stake,2,2,85,90,1,3,585,2023-12-13 11:00:00,2023-12-13 12:30:00,Silver Berry Ward,90.0
Bearspaw Chapel,Gateway Stake,2,1,30,40,1,2,165,2023-12-13 11:00:00,2023-12-13 12:30:00,Lee Ridge Ward,90.0
Gateway Stake Centre,Gateway Stake,1,1,18,26,0,1,201,2023-12-13 11:45:00,2023-12-13 12:10:00,Ellerslie Ward,25.0
Bearspaw Chapel,Bonnie Doon Stake,1,0,13,60,0,1,0,2023-12-13 11:21:00,2023-12-13 12:22:00,Strathcona Married Student Ward,61.0
Gateway Stake Centre,Gateway Stake,2,2,20,45,0,1,151,2023-12-13 10:30:00,2023-12-13 12:33:00,Lee Ridge Ward,123.0
North Stake Centre,Edmonton North Stake,2,0,93,120,1,1,552,2023-12-13 10:30:00,2023-12-13 12:30:00,Griesbach Ward,120.0
Gateway Stake Centre,Gateway Stake,2,3,22,40,0,1,118,2023-12-13 11:50:00,2023-12-13 12:30:00,Silver Berry Ward,40.0
Riverbend Stake Centre,Riverbend Stake,4,0,80,120,1,4,400,2023-12-13 10:30:00,2023-12-13 12:00:00,Drayton Valley Ward,90.0
Gateway Stake Centre,Gateway Stake,2,2,29,45,0,1,342,2023-12-13 11:00:00,2023-12-13 11:45:00,Silver Berry Ward,45.0
Bearspaw Chapel,Gateway Stake,2,1,35,40,1,2,172,2023-12-13 11:30:00,2023-12-13 12:30:00,Lee Ridge Ward,60.0
Bearspaw Chapel,Gateway Stake,1,0,23,60,0,1,163,2023-12-13 11:00:00,2023-12-13 12:30:00,Lee Ridge Ward,90.0
Gateway Stake Centre,Gateway Stake,2,2,17,37,0,1,186,2023-12-13 11:48:00,2023-12-13 12:25:00,Silver Berry Ward,37.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,22,30,0,1,145,2023-12-13 10:45:00,2023-12-13 11:30:00,Southgate Ward,45.0
Riverbend Stake Centre,Riverbend Stake,2,0,8,15,0,1,68,2023-12-13 12:00:00,2023-12-13 12:38:00,Rutherford Ward,38.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,11,38,0,1,158,2023-12-13 11:39:00,2023-12-13 12:22:00,Strathcona Married Student Ward,43.0
Gateway Stake Centre,Gateway Stake,6,0,20,30,0,1,300,2023-12-13 12:00:00,2023-12-13 12:30:00,Silver Berry Ward,30.0
Bearspaw Chapel,Bonnie Doon Stake,2,3,60,90,1,2,257,2023-12-13 11:00:00,2023-12-13 12:30:00,Southgate Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,1,80,60,1,2,300,2023-12-13 11:00:00,2023-12-13 12:20:00,Terwillegar Park Ward,80.0
Londonderry Chapel,Bonnie Doon Stake,2,1,42,110,1,2,191,2023-12-13 10:30:00,2023-12-13 12:22:00,Clareview Ward,112.0
Bearspaw Chapel,Gateway Stake,2,3,32,30,0,1,157,2023-12-13 11:30:00,2023-12-13 00:15:00,Lee Ridge Ward,-675.0
Riverbend Stake Centre,Riverbend Stake,2,2,54,90,0,1,350,2023-12-13 11:00:00,2023-12-13 12:40:00,Woodbend Ward,100.0
Riverbend Stake Centre,Riverbend Stake,3,1,100,110,1,2,80,,2023-12-13 10:15:00,Rabbit Hill Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,4,0,200,240,1,7,607,,,Clareview Ward,54.70873786407767
Londonderry Chapel,Bonnie Doon Stake,3,1,25,60,0,1,25,2023-12-13 11:30:00,,Clareview Ward,54.70873786407767
Gateway Stake Centre,Gateway Stake,2,1,45,60,1,2,36,2023-12-13 11:28:00,2023-12-13 12:22:00,Rio Vista Ward,54.0
Riverbend Stake Centre,Riverbend Stake,3,1,110,120,1,3,430,2023-12-13 10:45:00,2023-12-13 12:25:00,Rabbit Hill Ward,100.0
Bearspaw Chapel,Bonnie Doon Stake,2,0,58,75,1,3,0,2023-12-13 11:20:00,2023-12-13 12:30:00,Southgate Ward,70.0
Riverbend Stake Centre,Riverbend Stake,2,3,39,120,0,1,110,2023-12-13 10:36:00,2023-12-13 12:25:00,Greenfield Ward,109.0
Gateway Stake Centre,Gateway Stake,2,2,35,80,1,2,330,2023-12-13 11:10:00,2023-12-13 12:30:00,Lee Ridge Ward,80.0
Riverbend Stake Centre,Riverbend Stake,2,3,88,40,0,1,380,2023-12-13 10:45:00,2023-12-13 11:00:00,Woodbend Ward,15.0
Riverbend Stake Centre,Riverbend Stake,1,3,12,30,0,1,142,2023-12-13 11:45:00,2023-12-13 12:15:00,Rutherford Ward,30.0
Gateway Stake Centre,Gateway Stake,3,4,33,30,1,3,206,2023-12-13 12:06:00,2023-12-13 12:36:00,Silver Berry Ward,30.0
Bearspaw Chapel,Gateway Stake,3,0,30,120,0,1,171,2023-12-13 11:00:00,2023-12-13 11:45:00,Blackmud Creek Ward,45.0
North Stake Centre,Edmonton North Stake,3,0,60,120,1,2,380,2023-12-13 10:15:00,2023-12-13 12:35:00,Griesbach Ward,140.0
Bearspaw Chapel,Gateway Stake,4,5,14,30,0,1,0,2023-12-13 12:00:00,2023-12-13 12:30:00,Blackmud Creek Ward,30.0
Gateway Stake Centre,Gateway Stake,2,0,23,25,0,1,160,2023-12-13 12:15:00,2023-12-13 12:40:00,Lee Ridge Ward,25.0
Gateway Stake Centre,Gateway Stake,1,1,45,90,1,2,180,2023-12-13 11:00:00,2023-12-13 12:30:00,Ellerslie Ward,90.0
Riverbend Stake Centre,Riverbend Stake,2,4,80,105,1,4,74,2023-12-13 11:00:00,2023-12-13 12:45:00,Rabbit Hill Ward,105.0
Bearspaw Chapel,Bonnie Doon Stake,2,3,20,45,0,1,147,2023-12-13 12:00:00,2023-12-13 12:45:00,Southgate Ward,45.0
Riverbend Stake Centre,Riverbend Stake,2,0,100,90,1,2,500,2023-12-13 11:00:00,2023-12-13 12:35:00,Greenfield Ward,95.0
Bearspaw Chapel,Gateway Stake,3,0,8,30,0,1,60,2023-12-13 12:00:00,2023-12-13 12:30:00,Blackmud Creek Ward,30.0
Riverbend Stake Centre,Riverbend Stake,5,0,28,60,1,2,260,2023-12-13 11:15:00,2023-12-13 12:47:00,Rutherford Ward,92.0
Bearspaw Chapel,Gateway Stake,3,4,14,60,1,2,147,2023-12-13 11:20:00,2023-12-13 12:45:00,Lee Ridge Ward,85.0
Riverbend Stake Centre,Riverbend Stake,2,2,65,80,1,2,200,2023-12-13 10:30:00,2023-12-13 11:50:00,Woodbend Ward,80.0
Bearspaw Chapel,Gateway Stake,3,4,25,35,1,2,166,2023-12-13 11:20:00,2023-12-13 12:46:00,Lee Ridge Ward,86.0
Riverbend Stake Centre,Riverbend Stake,2,2,67,60,1,2,377,2023-12-13 11:00:00,2023-12-13 12:00:00,Rutherford Ward,60.0
Riverbend Stake Centre,Riverbend Stake,3,0,34,90,1,2,246,2023-12-13 11:00:00,2023-12-13 12:30:00,Rutherford Ward,90.0
Bearspaw Chapel,Gateway Stake,4,9,32,75,0,1,178,2023-12-13 11:00:00,2023-12-13 12:15:00,Blackmud Creek Ward,75.0
Gateway Stake Centre,Gateway Stake,1,1,25,25,0,1,226,2023-12-13 12:20:00,2023-12-13 12:45:00,Ellerslie Ward,25.0
Riverbend Stake Centre,Riverbend Stake,1,1,125,150,1,3,650,2023-12-13 10:00:00,2023-12-13 12:50:00,Terwillegar Park Ward,170.0
North Stake Centre,Edmonton North Stake,2,2,145,150,1,5,2500,2023-12-13 10:30:00,2023-12-13 13:00:00,Namao Ward,150.0
Riverbend Stake Centre,Riverbend Stake,2,2,40,75,0,1,215,2023-12-13 11:15:00,2023-12-13 12:20:00,Rutherford Ward,65.0
Riverbend Stake Centre,Riverbend Stake,3,3,40,60,1,2,280,2023-12-13 11:50:00,2023-12-13 12:50:00,Terwillegar Park Ward,60.0
Riverbend Stake Centre,Riverbend Stake,2,0,20,70,0,1,160,2023-12-13 11:00:00,2023-12-13 12:15:00,Woodbend Ward,75.0
Riverbend Stake Centre,Riverbend Stake,4,0,65,60,0,1,300,2023-12-13 11:00:00,2023-12-13 12:55:00,Rabbit Hill Ward,115.0
