Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Gateway Stake Centre,Gateway Stake,7,1,46,60,1,219
Gateway Stake Centre,Gateway Stake,1,1,15,55,2,236
Riverbend Stake Centre,Riverbend Stake,2,0,20,45,1,13
Bearspaw Chapel,Gateway Stake,1,0,15,45,1,15
Londonderry Chapel,Bonnie Doon Stake,2,2,19,45,1,198
Coronation Park Chapel,Edmonton North Stake,1,0,30,47,2,155
Gateway Stake Centre,Gateway Stake,2,0,35,70,1,134
Londonderry Chapel,Bonnie Doon Stake,2,0,4,10,1,180
North Stake Centre,Edmonton North Stake,2,4,23,50,1,203
Londonderry Chapel,Bonnie Doon Stake,2,0,12,50,1,180
Londonderry Chapel,Bonnie Doon Stake,1,3,7,30,1,7
Riverbend Stake Centre,Riverbend Stake,2,0,40,60,1,20
Coronation Park Chapel,Bonnie Doon Stake,2,2,72,45,3,63
North Stake Centre,Edmonton North Stake,1,2,22,60,1,150
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,1,40,60,1,160
Gateway Stake Centre,Gateway Stake,2,3,20,60,2,194
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,33,45,2,130
Riverbend Stake Centre,Riverbend Stake,1,2,18,40,1,14
Gateway Stake Centre,Gateway Stake,2,0,17,40,1,170
Riverbend Stake Centre,Riverbend Stake,2,1,12,15,1,12
North Stake Centre,Edmonton North Stake,3,0,17,45,1,13
Gateway Stake Centre,Gateway Stake,2,0,37,15,4,520
North Stake Centre,Edmonton North Stake,2,0,12,100,1,175
Riverbend Stake Centre,Riverbend Stake,2,2,10,10,1,70
Riverbend Stake Centre,Riverbend Stake,1,3,50,60,1,38
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,10,30,1,136
Riverbend Stake Centre,Riverbend Stake,4,0,23,45,1,192
North Stake Centre,Edmonton North Stake,1,3,15,60,1,14
North Stake Centre,Edmonton North Stake,1,3,7,40,1,90
Gateway Stake Centre,Gateway Stake,1,0,16,30,1,135
Gateway Stake Centre,Gateway Stake,1,2,28,35,1,203
Londonderry Chapel,Bonnie Doon Stake,1,2,12,20,1,110
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,25,60,1,249
Bearspaw Chapel,Gateway Stake,1,2,15,55,1,158
Bearspaw Chapel,Gateway Stake,7,0,17,40,1,170
Gateway Stake Centre,Gateway Stake,2,2,9,20,1,138
Riverbend Stake Centre,Riverbend Stake,4,1,15,15,1,80
Bearspaw Chapel,Gateway Stake,3,3,55,47,1,165
Gateway Stake Centre,Gateway Stake,3,2,30,40,2,256
Gateway Stake Centre,Gateway Stake,3,1,40,100,2,419
North Stake Centre,Edmonton North Stake,2,2,15,60,1,106
Coronation Park Chapel,Bonnie Doon Stake,2,2,35,75,2,144
Gateway Stake Centre,Gateway Stake,2,1,11,60,2,11
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,16,40,1,125
Gateway Stake Centre,Gateway Stake,1,2,32,35,1,173
North Stake Centre,Edmonton North Stake,2,0,18,55,1,90
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,4,32,45,1,200
Coronation Park Chapel,Bonnie Doon Stake,3,0,18,45,1,143
Riverbend Stake Centre,Riverbend Stake,2,0,44,70,2,285
Gateway Stake Centre,Gateway Stake,2,3,30,60,2,23
Gateway Stake Centre,Gateway Stake,3,2,30,40,1,210
Bearspaw Chapel,Gateway Stake,2,0,35,60,1,148
Riverbend Stake Centre,Riverbend Stake,2,0,44,60,2,446
Londonderry Chapel,Bonnie Doon Stake,1,2,35,45,1,200
Coronation Park Chapel,Bonnie Doon Stake,3,1,117,45,4,403
North Stake Centre,Edmonton North Stake,2,0,30,105,3,356
Londonderry Chapel,Bonnie Doon Stake,2,2,40,70,2,200
Londonderry Chapel,Bonnie Doon Stake,2,0,3,3,1,180
Gateway Stake Centre,Gateway Stake,2,0,30,55,1,174
Bearspaw Chapel,Gateway Stake,4,3,26,30,1,148
Riverbend Stake Centre,Riverbend Stake,1,1,24,90,1,170
Riverbend Stake Centre,Riverbend Stake,2,0,70,90,1,312
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,3,20,60,1,120
Gateway Stake Centre,Gateway Stake,1,0,26,40,2,191
Gateway Stake Centre,Gateway Stake,2,1,23,32,2,195
Londonderry Chapel,Bonnie Doon Stake,2,0,15,30,1,121
Gateway Stake Centre,Gateway Stake,2,3,13,15,1,115
Gateway Stake Centre,Gateway Stake,1,2,20,50,2,260
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,1,18,45,1,125
Gateway Stake Centre,Gateway Stake,2,1,36,40,1,145
Bearspaw Chapel,Bonnie Doon Stake,5,1,6,15,1,40
Gateway Stake Centre,Gateway Stake,2,2,35,60,1,214
Gateway Stake Centre,Gateway Stake,2,0,6,15,1,168
North Stake Centre,Edmonton North Stake,3,2,43,60,2,40
Riverbend Stake Centre,Riverbend Stake,3,1,19,40,1,150
North Stake Centre,Edmonton North Stake,2,1,10,52,1,120
Riverbend Stake Centre,Riverbend Stake,2,1,48,44,2,208
