Drop Off Location,Stake,# of Adult Volunteers in this route,# of Youth Volunteers in this route,# of Donation Bags Collected/Route,Time to Complete (in minutes) pick up of bags /route,Number of routes completed,# of Doors in Route
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,5,20,20,1,115
Riverbend Stake Centre,Riverbend Stake,2,1,29,40,3,200
Riverbend Stake Centre,Riverbend Stake,2,4,29,40,3,174
Riverbend Stake Centre,Riverbend Stake,2,4,39,80,3,262
Bearspaw Chapel,Gateway Stake,2,2,25,75,1,202
Bearspaw Chapel,Bonnie Doon Stake,4,5,34,55,1,157
Bearspaw Chapel,Gateway Stake,2,0,28,70,1,142
Gateway Stake Centre,Gateway Stake,2,0,150,150,6,180
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,0,16,30,1,180
Bearspaw Chapel,Bonnie Doon Stake,4,0,14,45,1,13
Bearspaw Chapel,Gateway Stake,2,0,22,60,1,180
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,29,60,3,240
Bearspaw Chapel,Bonnie Doon Stake,1,4,30,30,1,130
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,0,140,30,1,130
Morinville,Edmonton North Stake,2,1,25,105,2,525
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,1,8,90,2,180
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,1,3,52,72,3,254
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,9,10,1,40
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,2,24,20,2,120
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,1,16,30,1,130
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,14,30,1,110
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,6,10,1,60
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,0,12,20,1,66
Bonnie Doon Stake Centre,Bonnie Doon Stake,1,0,7,25,1,100
Bonnie Doon Stake Centre,Bonnie Doon Stake,3,0,28,90,1,65
Bonnie Doon Stake Centre,Bonnie Doon Stake,2,2,36,45,2,150
Morinville,Edmonton North Stake,1,3,80,240,2,420
Onoway,Edmonton North Stake,2,0,10,45,1,180
North Stake Centre,Edmonton North Stake,2,0,20,20,1,150
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,4,51,60,2,180
Coronation Park Chapel,Edmonton North Stake,1,3,55,195,1,279
Coronation Park Chapel,Edmonton North Stake,2,0,39,120,1,313
Coronation Park Chapel,Edmonton North Stake,3,0,12,180,1,161
Coronation Park Chapel,Edmonton North Stake,3,0,30,180,1,316
Coronation Park Chapel,Edmonton North Stake,2,0,26,75,1,187
Coronation Park Chapel,Edmonton North Stake,3,0,57,180,1,226
Coronation Park Chapel,Edmonton North Stake,1,3,71,195,1,343
Coronation Park Chapel,Edmonton North Stake,2,3,54,135,1,272
Coronation Park Chapel,Edmonton North Stake,2,3,27,135,1,298
Coronation Park Chapel,Edmonton North Stake,1,2,25,135,1,245
Coronation Park Chapel,Edmonton North Stake,1,2,25,135,1,239
Coronation Park Chapel,Edmonton North Stake,2,0,19,75,1,264
Coronation Park Chapel,Edmonton North Stake,2,3,21,45,1,289
Coronation Park Chapel,Edmonton North Stake,4,0,31,75,1,267
Coronation Park Chapel,Edmonton North Stake,2,3,12,75,1,200
Coronation Park Chapel,Edmonton North Stake,2,0,17,75,1,303
Coronation Park Chapel,Edmonton North Stake,1,0,35,105,1,288
Coronation Park Chapel,Edmonton North Stake,2,0,35,60,1,257
Coronation Park Chapel,Edmonton North Stake,2,0,17,120,1,186
Coronation Park Chapel,Edmonton North Stake,3,0,25,60,1,219
Coronation Park Chapel,Edmonton North Stake,1,1,20,60,1,280
Coronation Park Chapel,Edmonton North Stake,1,2,31,150,1,284
Coronation Park Chapel,Edmonton North Stake,1,3,80,120,1,296
Coronation Park Chapel,Edmonton North Stake,1,2,20,150,1,234
Coronation Park Chapel,Edmonton North Stake,1,2,28,150,1,264
Coronation Park Chapel,Edmonton North Stake,1,3,13,60,1,210
Coronation Park Chapel,Edmonton North Stake,1,3,13,60,1,289
Coronation Park Chapel,Edmonton North Stake,2,0,47,105,1,268
Coronation Park Chapel,Edmonton North Stake,1,0,14,60,1,254
Coronation Park Chapel,Edmonton North Stake,2,2,45,195,1,240
Coronation Park Chapel,Edmonton North Stake,2,2,40,195,1,288
Coronation Park Chapel,Edmonton North Stake,2,3,32,135,1,288
Coronation Park Chapel,Edmonton North Stake,2,3,47,135,1,213
Coronation Park Chapel,Edmonton North Stake,2,0,63,180,1,328
Coronation Park Chapel,Edmonton North Stake,1,0,23,135,1,281
Coronation Park Chapel,Edmonton North Stake,2,1,31,90,1,256
Coronation Park Chapel,Edmonton North Stake,1,0,33,120,1,297
Coronation Park Chapel,Edmonton North Stake,2,3,61,150,1,284
Coronation Park Chapel,Edmonton North Stake,2,3,37,120,1,275
Coronation Park Chapel,Edmonton North Stake,2,2,30,120,1,267
Coronation Park Chapel,Edmonton North Stake,2,2,18,120,1,275
Coronation Park Chapel,Edmonton North Stake,3,1,38,75,1,278
Coronation Park Chapel,Edmonton North Stake,1,0,22,120,1,237
Coronation Park Chapel,Edmonton North Stake,2,2,25,90,1,228
Coronation Park Chapel,Edmonton North Stake,2,1,24,150,1,216
Coronation Park Chapel,Edmonton North Stake,2,1,37,150,1,217
Coronation Park Chapel,Edmonton North Stake,2,1,22,150,1,234
Coronation Park Chapel,Edmonton North Stake,2,3,26,150,1,237
Coronation Park Chapel,Edmonton North Stake,1,2,15,45,1,153
Coronation Park Chapel,Edmonton North Stake,1,2,16,45,1,300
Coronation Park Chapel,Edmonton North Stake,2,0,28,120,1,273
Coronation Park Chapel,Edmonton North Stake,2,0,29,120,1,201
Coronation Park Chapel,Edmonton North Stake,2,1,27,150,1,255
Coronation Park Chapel,Edmonton North Stake,2,0,18,60,1,207
Coronation Park Chapel,Edmonton North Stake,1,2,16,30,1,201
Coronation Park Chapel,Edmonton North Stake,1,1,30,105,1,219
Coronation Park Chapel,Edmonton North Stake,1,1,30,105,1,154
Coronation Park Chapel,Edmonton North Stake,1,2,31,105,1,289
Coronation Park Chapel,Edmonton North Stake,1,2,53,105,1,320
Coronation Park Chapel,Edmonton North Stake,1,1,16,75,1,273
Coronation Park Chapel,Edmonton North Stake,1,1,33,75,1,293
Coronation Park Chapel,Edmonton North Stake,1,1,15,45,1,195
Coronation Park Chapel,Edmonton North Stake,1,1,15,45,1,155
Coronation Park Chapel,Edmonton North Stake,3,0,43,60,1,293
Coronation Park Chapel,Edmonton North Stake,2,3,38,150,1,305
Coronation Park Chapel,Edmonton North Stake,1,1,38,45,1,299
Coronation Park Chapel,Edmonton North Stake,1,1,30,60,1,273
Coronation Park Chapel,Edmonton North Stake,3,3,19,75,1,281
